aX,aY,aZ,gX,gY,gZ
1.123,0.699,0.079,63.843,-22.888,-31.433
0.978,0.539,0.194,37.109,-16.052,-17.639
1.025,0.412,0.195,21.484,-5.432,5.371
1.126,0.355,0.091,10.620,2.441,12.146
1.074,0.246,0.049,-5.615,-6.226,-8.972
0.949,0.117,0.068,-11.047,-13.672,-14.160
0.874,-0.007,0.002,-15.991,-11.841,-6.226
0.922,-0.062,-0.043,-20.752,-7.446,7.996
0.998,-0.091,-0.062,-25.208,-6.531,9.338
1.052,-0.138,0.045,-27.405,-7.263,3.479
1.060,-0.161,0.093,-24.597,-7.507,-2.747
1.056,-0.166,0.077,-16.907,-0.793,-9.705
0.982,-0.163,0.008,-17.944,1.404,-10.620
0.956,-0.159,0.033,-23.254,-1.160,-6.714
0.974,-0.136,0.061,-23.987,4.700,-0.854
0.993,-0.124,0.055,-23.437,5.676,-3.357
0.976,-0.124,0.089,-24.231,1.099,-4.944
0.973,-0.129,0.091,-21.973,-0.854,-0.183
1.010,-0.099,0.082,-22.278,2.930,3.540
1.036,-0.075,0.062,-19.531,5.127,1.587
1.033,-0.088,0.057,-17.395,4.211,-1.465
1.028,-0.100,0.052,-16.663,2.869,-3.845
1.013,-0.108,0.046,-16.418,1.343,-4.028
0.989,-0.119,0.062,-15.869,0.916,-2.136
1.006,-0.117,0.060,-14.343,5.066,1.221
1.013,-0.119,0.045,-10.010,4.761,-0.549
0.983,-0.135,0.032,-8.301,-0.122,-3.113
0.981,-0.130,0.040,-8.118,0.061,-1.221
0.980,-0.120,0.046,-7.874,3.723,2.502
0.995,-0.104,0.043,-6.592,3.967,4.150
0.994,-0.096,0.038,-6.409,3.235,3.967

1.234,-0.550,-0.392,14.404,4.211,7.019
1.280,-0.595,-0.444,25.269,31.555,-1.526
1.224,-0.530,-0.460,39.307,36.682,-17.822
0.994,-0.292,-0.322,49.500,32.288,-31.128
0.823,-0.142,-0.138,54.565,30.701,-38.635
0.684,-0.029,0.069,66.040,16.785,-25.452
0.770,0.168,0.250,65.430,1.343,-3.906
0.900,0.301,0.336,53.650,-7.507,11.414
0.978,0.324,0.470,34.729,-10.376,18.799
1.034,0.302,0.560,29.663,-6.042,20.020
1.100,0.268,0.542,24.780,-3.845,15.686
