aX,aY,aZ,gX,gY,gZ
0.987,-0.145,-0.001,-4.333,2.014,2.747
0.990,-0.170,0.040,-3.784,-3.052,-0.854
0.989,-0.176,0.070,0.122,-1.770,2.380
0.994,-0.180,0.049,0.000,-0.854,2.441
0.979,-0.187,0.065,0.977,1.709,4.395
1.008,-0.129,0.018,4.822,1.831,7.324
1.014,-0.141,0.010,1.099,-1.282,2.930

0.802,-1.177,0.413,70.862,-53.772,-50.720
0.714,-1.396,0.685,95.947,-46.936,-52.246
0.699,-1.399,0.713,158.691,-60.486,-48.218
0.697,-1.116,0.508,202.087,-65.247,-34.546
0.590,-0.724,0.377,195.129,-55.420,1.709
0.648,-0.209,0.227,184.814,-32.043,27.222
0.871,0.346,0.020,186.096,-6.653,40.405
1.007,0.696,-0.026,166.260,-52.185,7.812
1.052,0.572,0.394,98.083,-46.326,47.668
1.516,0.591,0.640,88.806,-24.231,61.707
1.360,0.596,0.420,86.975,-49.500,33.020
1.194,0.404,0.455,53.467,-26.672,28.381
1.295,0.333,0.402,41.748,1.526,38.513
1.195,0.335,0.263,42.847,3.235,25.757
1.077,0.299,0.081,29.602,12.390,21.545
0.993,0.151,0.053,8.789,15.747,19.714
0.957,0.090,0.031,6.104,6.348,16.602
0.920,0.004,0.033,5.493,3.235,14.648
0.936,-0.007,0.006,2.197,7.141,18.127
0.965,-0.025,0.016,-1.465,2.014,11.597
0.945,-0.086,0.028,-1.953,-5.066,7.263
1.012,-0.088,0.077,0.732,-18.677,-1.038
0.975,-0.141,0.131,0.061,-18.982,-6.226
1.020,-0.118,0.116,-7.446,-1.099,4.578
1.062,-0.110,0.135,-9.155,-1.221,-1.343
1.039,-0.121,0.141,-7.568,-2.930,-3.601
1.059,-0.103,0.141,-6.531,0.671,-2.502
1.028,-0.129,0.106,-7.080,4.456,-3.174
1.008,-0.132,0.099,-5.737,2.258,-5.615
0.992,-0.148,0.114,-5.798,3.418,-3.845
0.984,-0.146,0.111,-5.737,5.859,0.000
1.022,-0.123,0.121,-4.761,4.700,-1.587
0.996,-0.139,0.120,-5.371,4.150,-4.761
0.970,-0.166,0.107,-3.723,-0.549,-7.263
0.959,-0.179,0.123,-3.174,-1.160,-5.371
0.971,-0.170,0.129,-2.869,2.747,-1.587
0.985,-0.167,0.131,-1.404,4.028,-0.916
0.981,-0.158,0.094,1.038,2.502,-1.038
0.968,-0.149,0.102,1.709,1.099,-0.488
0.984,-0.122,0.092,1.038,2.869,2.075

0.897,-0.991,0.303,90.210,-55.664,-45.410
0.828,-1.243,0.430,109.741,-48.706,-47.058
0.678,-1.246,0.501,133.728,-43.579,-46.326
0.603,-1.091,0.434,167.908,-61.646,-41.504
0.761,-0.697,0.304,177.246,-79.712,-33.752
0.797,-0.355,0.189,153.625,-75.012,-26.062
0.886,-0.076,0.109,130.493,-58.289,-1.892
1.167,0.191,0.200,110.291,-62.561,-3.418
1.006,0.248,0.268,63.904,-39.673,10.620
1.115,0.276,0.484,23.987,16.052,54.443
1.168,0.332,0.608,56.213,-15.259,53.528
1.123,0.564,0.360,75.562,-33.203,48.096
1.155,0.557,0.357,27.344,34.729,81.055
1.329,0.493,0.365,33.203,27.344,52.002
1.136,0.433,0.129,39.124,10.193,31.921
1.065,0.319,0.006,23.865,-4.395,7.080
1.005,0.189,-0.001,7.019,-12.329,-3.723
0.975,0.077,0.045,-2.563,-7.996,-0.061
1.005,-0.010,0.107,-9.338,-6.348,1.343
1.046,-0.075,0.194,-5.249,-13.916,-2.197
1.056,-0.080,0.146,-0.427,-1.953,2.930
1.024,-0.118,0.100,-7.629,14.954,9.521
1.060,-0.126,0.145,-5.615,13.428,9.033
1.046,-0.113,0.096,-3.113,7.812,2.441
1.012,-0.172,0.141,-7.019,4.028,-3.357
0.999,-0.177,0.182,-5.066,2.991,-4.089
0.975,-0.177,0.146,-1.404,2.991,-5.615
0.948,-0.186,0.148,-2.808,7.874,-3.174
0.945,-0.184,0.119,-1.282,8.728,-1.465
0.919,-0.190,0.105,-0.183,3.357,-2.625
0.939,-0.169,0.120,1.770,-0.366,1.892
0.982,-0.149,0.115,0.977,2.319,3.296
0.971,-0.152,0.113,-2.380,5.615,4.883
1.013,-0.144,0.111,-1.221,4.028,2.930
1.006,-0.134,0.116,0.916,0.000,-1.404
0.974,-0.148,0.089,-0.183,2.258,-0.610
0.978,-0.160,0.086,-1.099,2.808,2.502
0.981,-0.168,0.103,-1.221,2.563,4.211
1.017,-0.142,0.118,0.488,-0.244,2.869
1.006,-0.146,0.101,0.488,-0.488,-0.671

1.065,-0.869,0.235,48.279,-32.837,-41.565
1.001,-1.203,0.470,74.341,-39.368,-57.556
0.849,-1.362,0.563,114.563,-45.349,-75.073
0.415,-1.433,0.529,159.180,-55.298,-55.359
0.346,-1.100,0.363,187.988,-83.252,-21.790
0.776,-0.573,0.244,196.533,-118.652,-42.419
0.448,-0.222,0.206,168.274,-130.737,-63.843
0.901,0.190,0.495,99.365,-34.180,56.274
1.343,0.510,0.544,98.938,-41.260,51.453
1.036,0.657,0.461,90.820,-90.759,52.673
1.375,0.771,0.674,61.829,-32.715,88.501
1.365,0.804,0.460,46.753,17.029,79.346
1.351,0.778,0.297,36.804,16.724,62.927
1.376,0.615,0.258,35.278,4.822,39.001
1.268,0.433,0.146,37.231,-15.198,0.732
1.098,0.301,0.076,22.705,1.221,-8.667
0.998,0.132,0.038,10.376,17.090,1.282
0.993,0.039,0.015,4.883,2.075,-3.418
0.967,-0.034,0.078,-0.610,-6.653,-3.174
1.050,-0.077,0.156,-3.113,4.761,2.686
1.014,-0.131,0.116,-4.395,10.254,0.916
0.986,-0.154,0.142,-6.165,12.390,1.465
0.973,-0.191,0.152,-3.113,8.179,0.610
0.966,-0.191,0.154,-0.793,11.292,4.028
0.975,-0.163,0.115,-0.305,14.771,7.690
0.974,-0.135,0.095,-3.845,14.648,5.554
0.938,-0.149,0.107,-5.920,11.353,3.967
0.958,-0.150,0.118,-3.540,10.254,8.484
0.997,-0.129,0.120,-1.831,9.277,8.606
1.002,-0.126,0.116,-2.441,6.042,3.235
0.987,-0.143,0.104,-3.052,2.197,-1.587
0.961,-0.165,0.115,-3.174,0.977,-1.160
0.980,-0.149,0.118,-1.831,2.747,3.723
0.998,-0.136,0.118,0.000,-1.831,2.075
1.008,-0.140,0.151,0.732,1.831,1.465
0.993,-0.131,0.125,0.488,6.470,3.479
0.955,-0.130,0.104,1.282,6.592,3.601
0.975,-0.130,0.075,0.305,5.859,3.845
0.979,-0.136,0.087,0.244,-1.953,0.488
0.992,-0.126,0.112,1.770,-3.662,-0.183

0.882,-0.971,0.446,49.683,-45.044,-46.509
0.528,-1.473,0.696,94.238,-77.820,-42.847
0.674,-1.529,0.662,162.415,-90.698,-8.179
0.508,-1.410,0.590,203.918,-83.008,-28.015
0.386,-1.241,0.628,218.750,-60.974,-2.197
0.675,-0.585,0.539,238.953,-63.843,52.429
1.116,0.167,0.293,211.853,-46.021,73.120
1.120,0.619,0.330,131.470,17.944,90.637
1.250,0.765,0.425,99.609,47.546,90.637
1.100,0.878,0.185,101.929,20.264,67.871
1.254,0.977,0.202,48.950,41.931,83.313
1.404,0.990,0.266,17.578,21.912,26.306
1.086,0.658,0.148,18.860,-26.184,-16.479
1.095,0.441,0.180,0.977,-39.307,-19.653
1.063,0.259,0.181,-10.742,-43.213,-34.119
0.916,0.110,0.238,-22.827,-18.860,-15.076
0.993,0.012,0.336,-13.428,23.437,21.423
0.989,0.084,0.131,5.371,22.217,22.583
0.938,0.066,0.047,7.507,5.737,10.071
0.917,-0.006,0.068,-3.235,7.080,8.972
0.930,-0.025,0.108,-5.188,3.906,11.719
0.957,-0.022,0.123,-7.385,5.554,12.146
0.978,-0.040,0.120,-10.498,3.723,8.728
0.969,-0.063,0.164,-10.620,-1.892,5.432
0.967,-0.092,0.175,-5.615,0.000,5.981
0.999,-0.063,0.129,-6.348,1.648,8.057
1.005,-0.077,0.181,-5.066,-2.441,4.028
0.999,-0.094,0.135,-2.991,1.709,6.287
1.016,-0.090,0.120,-2.869,6.042,9.888
1.052,-0.056,0.101,0.000,-0.549,3.296
1.050,-0.031,0.113,-1.404,-2.075,-2.075
