aX,aY,aZ,gX,gY,gZ
0.913,-0.102,0.041,-5.554,-0.366,-7.080
0.918,-0.083,0.033,-11.414,-1.831,-2.136
0.949,-0.107,0.086,-15.137,-0.122,0.488
0.972,-0.136,0.093,-10.071,1.343,-5.005
0.929,-0.171,0.095,-4.761,-0.305,-8.972
0.958,-0.161,0.075,-5.188,0.549,-3.357
0.955,-0.163,0.060,-7.629,-1.465,-4.333
0.928,-0.187,0.091,-6.531,-2.502,-2.319
0.934,-0.182,0.084,-1.770,-1.099,-2.197
0.927,-0.180,0.062,0.732,-2.991,-2.136
0.929,-0.188,0.076,1.648,-1.343,-0.427
0.935,-0.169,0.046,3.174,-4.333,0.732
0.962,-0.144,0.058,2.930,-4.700,4.211
0.986,-0.115,0.017,-0.305,-1.770,4.700
0.947,-0.127,0.067,-3.906,-5.310,3.845
0.984,-0.122,0.065,-4.822,-2.258,8.606

1.168,0.684,0.245,7.751,13.123,6.165
1.085,0.801,0.131,-1.709,17.578,-2.991
0.948,1.004,0.025,-42.053,23.743,13.855
0.935,1.281,0.114,-88.562,24.170,56.335
1.143,1.421,0.087,-128.601,34.607,67.749
1.182,1.340,0.049,-174.927,37.109,15.137
0.947,0.849,0.241,-193.909,24.536,-68.237
0.623,-0.018,0.386,-174.499,22.766,-128.418
0.306,-0.625,0.208,-144.348,8.728,-137.634
0.297,-0.879,-0.045,-152.771,-17.822,-97.595
0.613,-1.156,0.263,-188.232,-23.193,-38.208
0.889,-1.554,0.681,-139.404,-46.875,8.362
1.184,-1.466,0.838,-74.768,-50.781,18.311
1.268,-1.110,0.526,-22.278,-40.405,2.380
0.883,-0.738,0.167,-19.165,-23.987,5.859
0.940,-0.439,0.164,-27.893,-4.883,32.471
0.964,-0.239,0.149,-8.911,-4.700,32.288
0.955,-0.116,0.061,5.554,-1.038,18.677
0.918,-0.056,-0.008,7.568,2.747,4.761
0.831,-0.049,-0.033,1.709,0.183,-2.991
0.863,-0.040,0.015,-10.132,-1.221,8.667
0.934,-0.008,0.077,-15.137,1.892,12.024
0.962,-0.016,0.121,-10.071,2.991,3.296
0.967,-0.045,0.140,-3.052,8.423,-7.812
0.910,-0.091,0.079,2.014,8.118,-18.616
0.866,-0.105,0.031,-8.545,2.441,-8.118
0.886,-0.082,0.123,-14.954,1.160,4.395
0.984,-0.059,0.186,-4.578,6.165,1.038
0.980,-0.025,0.104,4.822,3.113,-15.198
0.899,-0.052,0.071,3.113,3.540,-15.625
0.900,-0.064,0.043,-2.075,0.305,-10.132
0.895,-0.069,0.036,-10.254,-4.272,-4.089
0.908,-0.068,0.090,-12.573,-3.418,4.395
0.965,-0.047,0.100,-8.484,-3.540,-0.061
0.965,-0.064,0.099,-3.967,-3.113,-6.714
0.948,-0.081,0.086,-3.906,-3.113,-10.315
0.918,-0.105,0.092,-6.104,-2.991,-8.850
0.927,-0.135,0.100,-5.493,-1.038,-7.629
0.897,-0.143,0.092,-0.610,-2.869,-10.132
0.895,-0.119,0.063,1.099,-6.287,-4.639

0.959,1.388,-0.176,-133.667,5.798,111.511
1.052,1.552,-0.278,-187.134,-9.094,55.420
0.975,1.316,-0.105,-192.139,-24.536,-44.678
0.831,0.786,0.220,-170.227,-23.071,-131.653
0.599,-0.371,0.340,-136.230,0.610,-178.894
0.456,-1.076,0.304,-126.953,17.212,-166.321
0.479,-1.273,0.326,-136.475,-16.541,-39.001
0.830,-1.116,0.403,-98.877,-45.288,8.606
1.117,-0.875,0.396,-58.594,-60.669,1.587
1.010,-0.690,0.292,-38.452,-47.180,-10.254
0.926,-0.521,0.172,-19.836,-29.175,-11.108
0.872,-0.447,0.136,-13.550,-26.428,-0.061
0.952,-0.234,0.101,-10.620,-24.597,5.920
0.984,-0.164,0.113,-5.554,-18.616,-3.174
1.007,-0.113,0.039,-1.038,-11.475,-22.278
0.887,-0.117,-0.003,-4.272,-10.925,-25.208
0.895,-0.143,0.040,-7.568,-10.010,-11.353
0.947,-0.130,0.046,-9.277,-9.094,-6.348
0.957,-0.095,0.081,-5.981,-7.019,-11.719
0.993,-0.078,0.074,-1.221,-2.625,-20.142
0.904,-0.116,0.026,0.244,-4.456,-24.780
0.912,-0.117,0.030,-4.456,-6.836,-13.977
0.974,-0.102,0.066,-11.475,-6.287,-3.967
0.966,-0.098,0.091,-11.108,-6.042,-3.967
0.999,-0.078,0.069,-5.798,-4.211,-0.488
1.030,-0.070,0.030,-8.118,-1.953,-1.892
0.978,-0.087,0.072,-18.188,-2.075,-6.836
0.967,-0.126,0.135,-12.695,3.967,-6.958
0.976,-0.155,0.130,0.854,0.854,-9.705
0.953,-0.135,0.040,4.822,-2.625,-7.812
0.927,-0.126,0.056,-3.296,-2.441,-3.357
0.946,-0.117,0.107,-7.202,-2.014,4.395
0.998,-0.090,0.121,-0.549,-1.221,3.662
0.965,-0.097,0.077,3.967,-2.136,-5.249
0.934,-0.106,0.062,2.991,-1.831,-4.578
0.946,-0.099,0.083,1.099,-2.747,1.343
0.975,-0.094,0.089,0.977,-2.319,4.333
0.959,-0.086,0.078,-0.732,-6.592,4.761
0.958,-0.084,0.112,-2.258,-3.296,7.874
1.003,-0.067,0.118,-0.610,0.000,2.869

1.254,1.217,0.063,-121.521,17.883,84.412
1.296,1.450,0.010,-192.261,18.799,40.466
1.220,1.403,0.050,-218.140,20.874,-48.523
0.903,0.996,0.255,-218.811,19.653,-125.244
0.600,0.370,0.300,-194.763,8.850,-179.138
0.324,-0.269,0.240,-167.908,-9.644,-214.905
0.148,-0.871,0.218,-201.355,14.343,-181.030
0.296,-1.354,0.492,-199.219,27.832,-75.378
0.610,-1.657,0.716,-119.141,-9.766,-42.969
0.704,-1.400,0.387,-47.180,-36.377,-27.954
0.708,-1.098,0.152,-27.405,-35.522,-2.014
0.739,-0.845,0.192,-27.893,-34.546,25.146
0.842,-0.597,0.221,-10.864,-40.955,51.575
1.018,-0.254,0.138,-3.174,-35.583,46.814
1.020,-0.156,0.120,1.404,-27.832,30.762
0.978,-0.124,0.148,5.737,-21.912,16.846
0.988,-0.085,0.079,5.615,-12.146,14.282
1.062,-0.092,0.137,3.174,-7.446,14.709
1.070,-0.087,0.130,5.737,-2.075,-9.399
0.974,-0.135,0.112,5.798,3.601,-17.822
0.951,-0.188,0.077,5.920,4.456,-14.954
0.932,-0.178,0.059,3.052,1.282,-10.681
0.908,-0.165,0.080,-2.380,2.991,0.488
0.951,-0.140,0.070,0.610,0.427,0.244
0.929,-0.166,0.081,1.770,-3.052,-6.531
0.886,-0.173,0.114,-1.892,-6.104,-3.906
0.970,-0.164,0.101,-4.517,-0.183,6.287
0.946,-0.170,0.066,-4.272,-4.822,-1.221
0.882,-0.184,0.115,-4.211,-2.441,7.446
0.977,-0.135,0.100,-0.977,-1.282,5.920
0.954,-0.168,0.109,2.625,-3.662,-4.395
0.941,-0.180,0.089,1.831,-0.366,-5.554
0.922,-0.200,0.099,1.282,-0.793,-4.761
0.916,-0.204,0.072,0.977,-1.770,-0.549
0.921,-0.176,0.056,-3.479,-5.859,7.324
0.947,-0.158,0.103,-4.578,-6.409,6.348
0.931,-0.136,0.089,-2.441,-7.690,4.761
0.958,-0.137,0.159,-1.831,-5.676,8.667
1.025,-0.111,0.126,4.272,0.610,6.226
0.974,-0.144,0.101,5.371,-1.099,-5.615

1.160,0.725,0.438,-43.274,13.428,27.649
1.215,1.038,0.404,-57.434,34.424,43.213
1.262,1.376,0.115,-95.764,33.081,16.907
1.288,1.490,-0.064,-148.315,32.410,-56.030
0.981,0.694,0.335,-180.725,44.189,-142.212
0.584,-0.154,0.592,-177.612,72.754,-183.289
0.364,-0.864,0.421,-138.428,87.402,-163.513
0.307,-1.172,-0.047,-118.103,60.608,-113.037
0.377,-1.287,-0.057,-160.706,19.653,-5.432
0.680,-1.315,0.266,-136.597,1.770,33.630
0.973,-1.178,0.401,-75.867,-14.526,12.939
0.771,-0.871,0.058,-32.898,-16.968,-12.756
0.755,-0.728,-0.051,-38.147,-11.841,0.000
0.834,-0.589,0.051,-49.194,-11.780,20.996
0.845,-0.473,0.099,-24.170,-17.578,25.757
0.889,-0.316,0.039,-11.414,-12.451,23.560
0.920,-0.167,-0.022,-5.981,-7.202,14.465
0.936,-0.141,-0.020,-6.287,-2.930,7.629
0.927,-0.128,-0.005,-7.324,3.174,-4.517
0.894,-0.167,-0.002,-4.028,1.343,-7.507
0.860,-0.201,-0.020,-4.639,-2.991,-5.249
0.900,-0.184,0.017,-7.629,-3.235,3.540
0.956,-0.143,0.032,-8.362,-3.601,6.165
0.953,-0.135,0.041,-7.019,-6.104,3.235
0.949,-0.128,0.040,-7.568,-4.517,0.977
0.949,-0.151,0.061,-6.775,-1.099,-3.662
0.941,-0.159,0.070,-3.357,-1.221,-5.249
0.930,-0.146,0.005,-2.747,-4.395,-5.798
0.908,-0.163,0.048,-7.141,-8.484,-3.296
0.980,-0.154,0.068,-7.935,-1.709,-0.732
0.974,-0.170,0.078,-3.723,-1.709,-5.920
0.965,-0.182,0.067,-2.136,-0.549,-7.507
0.949,-0.200,0.060,-2.136,-2.441,-6.897
0.963,-0.183,0.060,-2.686,-2.075,-2.258
0.955,-0.177,0.047,-2.319,-0.427,-2.197
0.930,-0.192,0.032,-2.014,-1.770,-3.296
0.937,-0.187,0.050,-1.465,-5.066,1.648
0.964,-0.162,0.069,0.244,-4.089,2.075
0.956,-0.153,0.050,0.305,-1.587,1.770
0.957,-0.157,0.059,0.122,-2.686,1.526

1.098,1.029,0.043,-72.449,27.283,55.420
