aX,aY,aZ,gX,gY,gZ
0.956,-0.018,0.065,6.775,-5.554,-7.263
1.005,-0.019,0.086,0.854,-3.601,-1.770
1.025,-0.033,0.139,1.892,-4.639,-4.822
1.005,-0.048,0.137,7.568,-3.113,-9.399
0.978,-0.050,0.108,4.517,-0.610,-1.038
0.998,-0.052,0.118,0.732,-3.418,5.005
1.000,-0.041,0.152,0.122,-4.150,6.287
1.008,-0.017,0.187,0.366,-3.113,3.845
1.013,-0.016,0.158,2.747,-0.061,-4.700
0.972,-0.036,0.107,5.371,3.357,-13.245
0.940,-0.061,0.111,3.052,-2.808,-9.216
0.950,-0.063,0.149,-0.671,-3.723,0.366
1.031,-0.049,0.204,-2.197,-0.916,-0.671
1.022,-0.080,0.209,4.150,9.033,-9.827

1.232,0.107,-0.732,1.099,39.612,9.460
1.166,0.130,-0.920,12.451,52.063,10.803
0.987,0.172,-0.985,7.874,53.467,30.884
0.798,0.290,-0.737,7.507,54.687,35.767
0.734,0.360,-0.437,57.251,45.959,-30.090
0.611,0.203,-0.124,144.897,8.789,-144.775
0.568,-0.033,0.170,146.790,-31.982,-186.645
0.451,-0.182,0.288,47.729,12.085,-86.182
1.088,-0.322,0.841,0.183,-25.513,-52.979
1.200,-0.516,1.099,5.554,-83.801,-73.792
1.156,-0.422,0.966,22.461,-68.298,-67.322
1.122,-0.412,0.724,0.854,-43.457,-39.734
1.019,-0.475,0.679,-16.541,-41.931,-5.859
1.059,-0.396,0.581,-13.123,-38.208,15.503
1.062,-0.238,0.413,-7.019,-36.804,12.329
1.011,-0.203,0.294,-4.456,-27.039,9.705
0.974,-0.155,0.157,-5.676,-14.709,13.000
0.908,-0.152,0.092,-10.986,-14.282,21.729
0.898,-0.151,0.052,-15.015,-15.442,34.424
0.958,-0.105,0.061,-13.733,-17.944,35.278
1.044,-0.067,0.149,-5.249,-13.367,18.921
0.985,-0.098,0.137,1.953,-8.057,2.136
0.953,-0.098,0.122,-1.282,-4.333,5.432
0.979,-0.060,0.145,-5.005,-2.991,10.498
1.001,-0.045,0.125,-2.380,-1.038,0.549
0.959,-0.068,0.101,-0.488,-2.014,-3.784
0.951,-0.100,0.112,-1.099,-2.808,2.197
0.998,-0.080,0.124,-4.456,-3.906,7.446
0.988,-0.079,0.124,-5.676,-2.258,9.216
0.988,-0.078,0.132,-3.174,-3.662,7.874
0.992,-0.077,0.143,-0.122,-4.517,4.211
0.986,-0.081,0.153,-0.793,-3.845,4.883
0.991,-0.089,0.152,-2.930,-1.038,9.033
1.008,-0.069,0.152,-3.601,-0.305,11.353
1.010,-0.054,0.166,-2.136,1.099,7.690
0.988,-0.051,0.147,2.075,3.906,-2.136
0.975,-0.062,0.115,2.197,3.967,-3.906
0.972,-0.067,0.118,0.183,3.296,-1.343
0.995,-0.064,0.130,-0.183,2.502,0.244
1.023,-0.073,0.150,1.343,3.418,-0.732

1.318,0.117,-0.755,-2.075,16.541,23.987
1.255,0.150,-0.834,0.671,41.077,35.339
1.062,0.271,-0.992,-7.751,85.083,47.546
0.957,0.332,-0.961,-20.874,107.056,37.598
0.755,0.149,-0.709,-1.831,87.830,-17.090
0.536,-0.021,-0.394,46.570,36.743,-53.894
0.596,-0.069,-0.076,26.489,10.376,-37.109
0.748,-0.163,0.324,-22.461,-5.127,-13.611
0.976,-0.183,0.773,-36.560,-10.193,-26.001
0.924,-0.318,0.800,-6.531,-40.588,-73.242
0.795,-0.468,0.857,3.906,-85.327,-75.256
0.897,-0.366,0.972,-45.715,-51.270,53.772
1.135,-0.106,0.806,-46.387,-38.330,63.782
1.172,-0.007,0.605,-11.719,-56.091,-2.136
1.001,-0.112,0.432,11.780,-62.073,-50.354
0.940,-0.194,0.312,4.578,-48.340,-38.208
0.985,-0.210,0.250,-13.062,-16.846,7.202
1.006,-0.174,0.160,-3.479,-14.282,10.620
1.002,-0.135,0.102,4.456,-16.907,9.888
1.034,-0.098,0.102,2.686,-15.442,8.850
1.036,-0.113,0.105,-1.892,-6.592,8.606
0.988,-0.100,0.109,-2.136,-1.953,10.315
0.998,-0.053,0.078,1.221,-0.916,12.634
1.007,-0.026,0.089,3.357,-0.549,5.249
1.009,-0.024,0.094,3.784,0.549,-2.441
0.981,-0.048,0.057,3.601,1.160,-5.798
0.960,-0.111,0.071,2.686,-2.441,-1.709
0.965,-0.091,0.064,2.258,-1.892,7.141
0.996,-0.076,0.066,2.625,-4.761,10.437
1.013,-0.070,0.090,3.479,-5.432,10.315
1.013,-0.040,0.094,2.441,-2.563,13.062
1.057,-0.016,0.110,0.916,0.061,7.996
1.054,-0.024,0.094,0.000,4.272,-0.488
1.024,-0.063,0.082,1.648,4.700,-3.174
1.015,-0.056,0.077,2.502,4.944,-1.587
1.022,-0.047,0.071,1.221,7.080,-0.916
1.008,-0.066,0.067,1.221,6.470,-4.517
0.999,-0.088,0.072,3.113,6.226,-7.080
0.999,-0.096,0.082,7.202,6.287,-8.545
0.983,-0.097,0.073,8.789,6.531,-8.240

0.933,0.267,-1.110,-13.306,22.461,30.273
1.064,0.349,-1.104,-23.804,26.917,36.560
0.902,0.281,-0.988,-25.696,43.701,5.920
0.545,0.085,-0.883,-23.804,53.894,-38.574
0.423,-0.044,-0.654,-8.179,32.227,-51.941
0.544,-0.154,-0.277,18.005,-18.494,-78.796
0.604,-0.435,0.356,4.395,-65.857,-56.458
1.000,-0.456,0.916,-49.072,-64.636,34.546
1.438,-0.268,1.172,-15.076,-52.185,60.913
