aX,aY,aZ,gX,gY,gZ
0.959,-0.290,0.011,-21.240,-29.297,10.498
0.907,-0.117,0.061,-19.104,-24.231,10.315
0.974,-0.081,0.020,-10.132,-5.920,0.305
0.997,-0.088,-0.006,7.568,-0.732,-7.141
0.988,-0.074,-0.021,-1.526,-13.916,5.310
0.982,-0.017,-0.017,-14.038,-29.358,16.174
0.917,0.052,-0.024,-14.832,-31.311,17.151
0.935,0.035,-0.026,-9.827,-26.001,13.550
0.919,0.093,-0.036,-9.216,-22.400,8.667
0.946,0.119,-0.028,-3.906,-10.498,-5.371
0.984,0.057,-0.009,4.456,-2.625,-5.615
1.054,0.020,0.014,3.662,-4.761,-3.113
1.045,0.019,0.029,-8.545,-21.179,-7.202
0.993,0.032,0.033,-7.996,-16.602,-8.423
1.010,0.044,-0.009,-4.700,-4.822,-10.620
1.013,0.031,-0.031,-5.676,-8.667,-16.724
0.969,0.022,-0.004,-4.211,-9.460,-18.494
0.976,-0.007,0.008,1.526,-3.052,-11.230
1.054,0.033,-0.018,-3.235,-3.052,-11.292
1.055,0.023,0.008,-2.930,-8.484,-17.334
1.023,-0.025,0.060,1.892,-0.732,-13.550
1.056,-0.019,0.035,2.197,5.127,-3.723
1.004,0.003,-0.003,0.427,-1.160,-2.869
0.977,0.011,0.022,3.723,-2.441,0.610
1.026,0.021,0.039,6.104,4.395,3.113
1.028,0.003,0.036,5.981,10.132,0.671
1.016,0.003,0.026,3.540,7.751,1.770
1.026,0.013,-0.008,2.014,6.958,1.648

1.439,1.113,0.222,-27.710,-37.048,50.232
1.625,1.660,0.406,-48.462,-56.030,118.530
1.486,1.588,0.864,-95.093,-45.837,136.536
0.770,0.804,1.250,-137.390,-2.136,132.568
0.609,0.435,0.936,-191.040,37.903,104.126
0.729,-0.053,0.427,-210.327,86.792,-39.063
0.953,-0.700,-0.107,-166.260,124.390,-54.443
1.202,-0.856,-0.613,-146.790,87.280,-2.319
1.110,-0.768,-0.278,-148.254,-98.755,-1.770
0.816,-0.762,0.327,-116.821,-99.365,-3.052
