aX,aY,aZ,gX,gY,gZ
0.975,-0.066,0.030,2.380,2.991,3.601
0.975,-0.051,0.020,3.052,1.465,4.456
0.982,-0.040,0.013,2.930,2.686,4.822
0.988,-0.032,0.020,3.296,1.404,0.549
0.960,-0.033,0.011,1.282,1.099,-1.465
0.956,-0.044,0.022,0.793,1.953,0.183
0.968,-0.041,0.032,-0.183,3.723,1.953
0.969,-0.040,0.027,-0.061,2.136,-0.793
0.940,-0.047,0.026,0.000,0.122,0.000
0.963,-0.032,0.052,-0.427,0.854,3.845

1.115,-0.179,1.026,-53.223,-16.724,32.593
1.220,-0.175,1.109,-48.950,10.071,62.256
1.306,-0.020,0.964,-12.024,-18.433,24.353
1.184,-0.018,0.762,-10.559,-37.964,-33.203
0.895,-0.139,0.647,-22.461,-9.460,-17.395
0.917,-0.067,0.432,-14.343,7.568,28.931
0.988,0.046,0.262,-6.531,9.949,37.537
0.987,0.095,0.149,-5.188,0.244,2.991
0.912,0.036,0.099,-6.042,-2.380,-6.775
0.931,-0.015,0.079,-3.113,-1.221,1.648
0.978,0.001,0.062,-3.540,2.563,8.606
0.988,-0.001,0.044,-6.104,-0.183,-0.122
0.962,-0.010,0.020,-7.019,-3.052,-9.338
0.971,-0.034,0.036,-2.686,-1.709,-8.423
0.949,-0.056,0.033,-2.319,-3.174,-14.771
0.948,-0.068,0.031,-4.456,0.305,-8.484
0.956,-0.070,0.047,-6.226,2.869,-5.310
0.960,-0.057,0.061,2.014,-0.549,-2.380
1.006,-0.044,0.062,3.540,3.967,-4.456
0.939,-0.059,0.032,3.662,4.150,-7.202
0.915,-0.077,0.050,4.272,0.549,-4.700
0.937,-0.057,0.052,3.540,1.404,6.714
0.974,-0.034,0.041,3.296,-0.427,3.174
0.947,-0.037,0.053,3.662,-0.854,1.648
0.957,-0.017,0.045,2.747,0.061,6.165
0.980,-0.000,0.032,1.892,-0.854,5.066
0.968,-0.010,0.032,0.549,-1.160,2.808
0.971,-0.015,0.042,3.357,-2.991,1.953
0.961,-0.009,0.025,3.784,-1.770,2.747
0.972,-0.012,0.033,2.136,-3.479,0.977
0.964,-0.017,0.031,1.770,-1.831,1.038
0.981,-0.009,0.034,1.587,-2.258,2.441
