aX,aY,aZ,gX,gY,gZ
0.924,0.102,-0.101,7.751,-2.136,-15.564
0.949,0.072,-0.050,16.174,3.479,-20.447
1.003,0.053,-0.089,23.865,21.179,-7.629
1.063,0.053,-0.141,18.066,22.705,3.967
1.051,0.085,-0.129,3.540,2.075,7.751
1.018,0.106,-0.078,-2.869,-12.329,4.150
1.018,0.082,-0.074,-0.549,-7.874,4.578
0.985,0.086,-0.056,-4.089,-4.944,7.874
0.973,0.114,-0.061,-8.057,-5.920,9.155
0.975,0.138,-0.036,-4.822,-2.197,3.723
0.986,0.110,-0.081,2.380,8.057,2.686
0.991,0.096,-0.097,6.653,17.700,5.249
0.995,0.100,-0.106,4.517,16.541,5.005
0.997,0.109,-0.124,0.854,10.132,0.000
0.979,0.107,-0.143,-1.160,4.944,-3.601
0.991,0.098,-0.151,0.061,5.066,-2.014
1.021,0.100,-0.159,-0.366,0.061,3.174
0.988,0.108,-0.129,-2.014,-6.287,2.625
0.951,0.115,-0.106,-2.930,-5.676,1.038
0.986,0.120,-0.110,-2.625,-0.854,-1.526
0.999,0.100,-0.120,-1.038,-2.502,-3.723
0.993,0.097,-0.111,-1.526,-1.831,-0.671
0.989,0.099,-0.105,0.000,2.075,3.540

1.888,0.027,0.239,-7.690,31.006,13.062
2.134,0.014,0.152,-15.930,45.593,16.846
2.169,-0.026,0.192,-17.456,59.387,22.034
1.936,-0.266,0.227,-7.141,96.313,35.156
1.674,-0.304,0.078,-2.197,125.366,61.157
1.403,-0.271,-0.007,-5.920,95.337,94.299
0.830,-0.174,0.161,-24.902,42.969,98.328
0.504,-0.055,0.264,-42.175,6.592,90.210
0.264,0.056,0.262,-43.945,-9.155,77.148
0.065,0.135,0.220,-38.574,-4.761,41.016
0.001,0.218,0.132,-37.354,17.273,12.756
0.112,0.236,0.054,-26.611,38.879,-12.268
0.313,0.159,-0.031,13.306,46.448,-27.161
0.442,0.057,-0.098,25.696,45.776,-8.728
0.553,0.051,-0.194,7.935,37.964,20.203
0.606,0.184,-0.175,-18.066,6.226,30.212
0.618,0.248,-0.104,-20.508,-33.875,-9.583
0.744,0.154,-0.055,3.052,-22.583,-20.203
0.857,0.118,-0.059,15.198,-5.615,-16.113
0.885,0.105,-0.073,10.742,4.700,-8.850
0.912,0.124,-0.072,2.869,2.869,-7.874
0.987,0.148,-0.088,-1.526,-1.465,-11.353
1.017,0.122,-0.103,-3.174,-2.258,-12.451
1.021,0.113,-0.102,-6.104,-5.066,-0.977
1.001,0.154,-0.040,-14.160,-10.376,1.648
1.003,0.139,-0.021,-17.944,-18.188,-4.089
1.003,0.108,-0.050,-22.888,-27.100,-5.371
0.986,0.119,-0.030,-16.235,-18.921,1.648
0.989,0.135,-0.010,-5.066,-1.038,6.226
1.023,0.124,-0.027,2.441,7.874,5.798
1.030,0.124,-0.054,-1.526,-1.038,0.916
1.022,0.143,-0.045,-2.808,-5.188,-2.625
1.001,0.121,-0.034,2.075,-2.136,-4.456
1.018,0.114,-0.052,1.160,3.662,5.066
0.982,0.152,-0.034,0.610,0.732,5.920
0.983,0.155,-0.031,1.648,0.793,2.441
0.994,0.147,-0.039,1.221,3.906,-1.587
1.002,0.136,-0.039,1.465,2.563,-2.136
1.000,0.123,-0.046,2.808,5.066,-0.610
0.980,0.131,-0.036,3.723,6.104,0.793

1.724,0.097,0.404,-9.705,-3.479,9.338
1.860,0.085,0.493,-15.137,-12.573,3.601
1.999,0.101,0.545,-17.212,22.705,8.728
1.926,-0.010,0.472,-7.935,86.609,12.634
1.714,-0.108,0.232,6.165,137.695,35.034
1.423,-0.109,0.133,-16.296,105.164,62.439
0.693,-0.009,0.223,-53.345,49.805,62.195
0.371,0.107,0.289,-81.665,10.803,52.307
0.171,0.168,0.272,-84.656,-10.864,31.189
0.016,0.215,0.186,-69.641,-11.597,9.949
-0.072,0.280,0.026,-51.758,10.315,-0.671
0.028,0.259,-0.036,-26.367,46.753,-8.728
0.240,0.193,-0.113,-3.540,53.162,-15.381
0.393,0.160,-0.112,3.357,29.602,-11.902
0.499,0.133,-0.064,17.639,21.484,-9.827
0.595,0.133,-0.057,27.893,28.015,-17.456
0.727,0.099,-0.041,27.527,20.020,-19.043
0.869,0.052,-0.007,18.860,9.155,-13.245
0.904,0.091,0.010,4.089,-1.404,-8.240
0.912,0.152,0.022,-8.789,-3.662,-9.216
0.970,0.150,0.013,-0.122,7.446,-16.968
1.040,0.121,-0.036,9.155,17.395,-16.785
1.101,0.121,-0.061,9.644,18.188,-5.371
1.125,0.115,-0.075,3.296,5.066,-3.296
1.057,0.128,-0.027,-6.531,-10.498,-3.601
1.041,0.143,0.003,-11.475,-16.541,-4.211
1.032,0.129,0.016,-7.568,-8.362,-4.700
1.036,0.103,0.012,-2.014,-0.793,-3.052
1.029,0.105,0.005,2.136,7.690,2.808
1.022,0.105,0.005,2.258,10.925,5.493
1.005,0.109,-0.000,-7.324,3.357,2.441
0.979,0.148,-0.027,-7.507,0.916,1.770
0.980,0.150,-0.021,-3.052,2.625,1.953
0.964,0.141,-0.025,1.404,5.798,1.465
0.979,0.128,-0.025,-1.038,3.113,0.488
0.983,0.129,-0.024,-6.409,-1.099,0.000
0.979,0.141,-0.029,-6.836,-1.160,-0.732
0.998,0.121,-0.029,-3.418,-0.916,-2.075
0.988,0.104,-0.026,-2.563,-1.221,1.770
0.983,0.142,-0.017,-6.775,-2.808,1.892

1.884,0.109,0.308,-4.211,-18.677,7.507
2.124,0.053,0.472,28.503,11.841,-11.536
2.161,-0.140,0.422,44.861,76.111,11.597
1.843,-0.214,0.192,27.649,107.361,53.284
1.511,-0.158,0.046,3.235,97.900,74.463
1.116,-0.093,0.023,-30.212,51.514,69.275
0.764,-0.040,0.088,-54.443,19.714,55.359
0.380,-0.003,0.221,-70.862,-14.709,35.706
0.179,0.038,0.225,-81.482,-35.278,17.212
0.068,0.121,0.163,-83.313,-31.799,6.470
0.040,0.195,0.078,-63.171,12.939,-3.723
0.094,0.221,-0.030,-39.429,49.683,-8.362
0.350,0.200,-0.181,-13.733,66.284,-12.207
0.516,0.136,-0.202,17.395,36.133,-21.484
0.607,0.031,-0.162,25.635,16.418,-18.250
0.741,-0.017,-0.107,18.921,14.221,-5.554
0.792,0.020,-0.091,16.785,15.991,9.583
0.856,0.046,-0.065,12.939,6.775,17.639
0.880,0.091,-0.028,5.981,-5.737,8.179
0.922,0.121,-0.003,-0.732,-16.479,-1.770
0.927,0.133,0.004,-4.089,-17.334,-4.761
0.948,0.158,-0.005,-4.028,-6.775,0.793
1.003,0.148,-0.011,1.038,-2.502,-3.784
1.019,0.098,-0.018,-0.488,-7.751,-9.949
1.027,0.100,-0.023,-13.794,-19.897,-8.362
1.021,0.120,0.007,-12.024,-20.996,-5.859
1.005,0.104,0.057,-3.418,-12.878,-1.038
1.026,0.073,0.062,5.066,3.052,7.202
1.020,0.097,0.022,-2.625,3.052,8.972
0.995,0.135,0.003,-5.798,0.305,7.629
0.990,0.146,0.012,-2.747,1.831,2.869
1.004,0.117,-0.008,2.502,6.409,0.061
1.002,0.139,-0.017,-0.305,4.456,2.991
1.004,0.124,-0.019,-1.038,1.038,0.183
0.996,0.110,-0.030,-1.099,-1.160,-1.221
0.998,0.121,-0.005,-3.235,0.000,1.526
1.005,0.107,-0.014,-2.563,0.671,0.793
0.993,0.096,-0.010,-2.136,-1.831,0.488
0.988,0.112,-0.001,-4.822,-2.808,3.662
0.978,0.128,0.017,-4.089,-2.747,1.282

1.777,-0.045,0.384,1.953,-1.221,-0.732
1.901,0.001,0.372,-10.803,25.696,18.433
2.059,0.056,0.353,-10.376,58.472,11.902
2.226,-0.102,0.235,11.597,93.933,3.967
2.103,-0.366,0.107,16.907,108.276,16.785
1.694,-0.408,0.053,-9.460,94.666,54.077
1.307,-0.264,0.070,-59.448,57.251,95.520
0.718,-0.053,0.212,-76.172,28.076,84.229
0.395,0.036,0.293,-75.256,3.418,61.340
0.161,0.106,0.329,-56.580,-3.601,29.297
0.029,0.144,0.292,-39.917,10.925,15.015
0.073,0.172,0.149,-26.062,35.156,6.775
0.205,0.178,-0.008,-10.925,50.232,5.615
0.290,0.175,-0.118,-4.272,38.940,10.620
0.443,0.167,-0.141,-0.671,19.897,9.644
0.535,0.155,-0.087,5.005,-0.244,-0.366
0.625,0.111,-0.029,19.714,0.000,-8.789
0.688,0.077,0.009,24.414,9.033,-5.249
0.851,0.078,-0.024,17.578,11.047,0.610
0.932,0.075,-0.010,8.240,3.906,-3.235
0.942,0.078,-0.026,-9.094,-13.428,-3.845
0.937,0.192,-0.013,-13.367,-16.785,-0.549
0.963,0.198,0.010,-1.770,-10.071,-2.869
1.010,0.149,-0.000,14.954,8.728,-4.822
1.060,0.116,-0.020,8.667,5.920,-3.052
1.065,0.107,-0.017,-1.587,-2.197,-1.770
1.033,0.117,-0.001,-8.362,-11.658,-0.427
1.021,0.128,0.038,-6.226,-9.094,3.967
1.012,0.120,0.038,-1.892,-1.709,6.226
1.010,0.112,0.045,-0.488,4.150,7.507
1.000,0.128,0.009,-3.418,4.822,8.362
0.980,0.163,0.012,-5.737,3.601,5.127
0.979,0.160,-0.002,-3.174,3.479,0.610
0.980,0.155,-0.002,-2.136,5.676,0.061
1.002,0.150,-0.010,0.000,6.165,-0.305
1.032,0.119,-0.012,0.610,4.028,1.709
0.995,0.133,-0.007,-2.625,2.686,5.310
0.987,0.135,-0.011,-3.052,1.099,5.615
0.985,0.145,-0.001,-3.784,2.136,1.160
1.001,0.129,-0.019,-1.709,2.869,0.488
