aX,aY,aZ,gX,gY,gZ
1.010,-0.105,0.070,2.319,6.592,-5.981
1.000,-0.136,0.078,3.601,4.761,-3.601
1.023,-0.131,0.103,-1.282,2.380,3.113
1.003,-0.102,0.092,-4.089,-0.793,6.104
0.993,-0.090,0.073,1.160,2.625,4.211
0.987,-0.099,0.079,5.798,6.348,3.479
0.980,-0.106,0.091,4.883,4.944,3.357
0.978,-0.114,0.089,1.892,4.639,3.113
0.997,-0.107,0.084,2.075,9.583,7.629

1.227,-1.191,-0.096,6.714,4.578,-38.696
1.237,-1.368,-0.055,46.326,15.930,-39.246
1.087,-1.131,0.004,67.932,-0.061,-10.559
0.937,-0.620,0.058,67.993,-43.091,18.188
0.790,0.038,0.080,77.271,-73.547,39.001
0.818,0.608,0.150,133.179,-51.270,55.054
0.848,0.870,0.404,145.813,-30.701,43.884
0.777,0.966,0.510,111.084,-20.386,19.531
0.819,0.867,0.365,76.904,-11.475,-18.982
0.972,0.656,0.146,85.266,37.048,-33.630
1.034,0.489,0.024,78.491,48.645,-10.498
1.014,0.409,0.073,50.842,12.085,9.216
0.913,0.389,0.124,29.480,-24.780,13.184
0.845,0.347,0.114,34.851,1.831,1.038
0.906,0.265,0.088,41.748,27.466,-8.911
1.022,0.130,0.110,33.203,21.606,-12.695
1.029,0.073,0.118,17.334,5.432,-6.226
0.994,0.071,0.092,4.944,-2.136,5.920
0.968,0.084,0.039,1.160,-2.808,13.123
0.949,0.100,0.063,3.418,-3.601,7.324
0.983,0.008,0.085,2.930,-1.404,-3.601
1.021,-0.047,0.072,0.122,4.150,-5.066
1.034,-0.045,0.012,-3.418,4.395,3.540
0.998,-0.024,0.022,-1.343,-2.563,5.920
0.963,0.006,0.013,2.502,0.061,4.089
0.978,-0.002,0.027,9.216,3.113,-4.639
1.013,-0.077,0.070,9.033,3.357,-9.277
1.041,-0.059,0.028,-0.488,2.319,3.235
1.001,0.000,0.018,-1.770,-6.531,10.498
0.969,0.024,0.047,1.709,-8.789,2.258
0.983,0.000,0.067,3.662,-1.526,-5.371
1.014,-0.024,0.033,1.770,2.075,-6.226
1.026,-0.020,0.026,-1.648,-0.671,-4.089
1.004,-0.002,0.022,-3.296,-5.859,-1.831
0.995,0.005,0.022,-0.854,-5.066,-4.028
1.013,-0.022,0.042,-0.977,-6.104,-5.737
1.008,-0.016,0.047,-4.517,-8.423,-2.014
0.990,0.007,0.041,-4.944,-7.019,0.427
1.001,0.015,0.048,-2.930,-2.930,0.488
1.006,0.010,0.065,-1.160,-2.991,-0.061

1.234,-0.937,0.135,27.527,-2.625,-45.166
1.316,-1.292,0.015,41.199,55.725,-68.726
1.266,-1.507,-0.067,70.129,73.486,-51.636
1.030,-1.364,-0.081,99.365,47.974,-24.658
0.903,-0.960,0.026,99.365,-25.757,14.709
0.743,-0.449,0.169,102.844,-63.538,31.982
0.653,0.307,0.455,112.671,-77.637,44.189
0.786,0.724,0.558,121.643,-60.547,48.218
0.851,0.943,0.557,111.938,-40.771,36.865
0.944,0.909,0.558,92.102,-43.091,2.075
1.014,0.694,0.481,86.365,-26.489,-28.198
1.091,0.617,0.286,61.035,16.785,8.789
1.087,0.627,0.128,43.640,4.639,29.541
0.998,0.582,0.101,42.847,-12.878,30.945
0.888,0.439,0.201,40.771,-9.033,26.672
0.869,0.365,0.221,34.607,3.540,21.057
0.926,0.256,0.205,22.217,15.869,2.441
0.948,0.163,0.155,19.287,22.034,-1.770
0.980,0.070,0.094,20.874,20.935,-4.456
0.998,-0.001,0.129,18.982,13.672,-8.545
1.025,-0.056,0.152,6.897,2.686,0.305
1.021,-0.047,0.113,2.319,1.648,14.343
0.991,0.030,0.092,2.808,-2.014,20.569
0.951,0.037,0.138,3.662,-5.432,13.733
0.928,0.050,0.134,4.456,6.042,-1.099
0.983,0.026,0.122,5.920,10.620,-8.484
1.024,-0.040,0.119,-1.099,6.165,-5.798
1.023,-0.019,0.072,-8.179,-3.235,1.953
1.010,0.000,0.077,-3.296,-6.592,5.066
0.988,0.014,0.092,2.197,-1.465,2.625
1.008,0.014,0.118,0.916,-4.517,-2.869
0.990,-0.016,0.132,-2.380,-6.165,-4.272
0.993,-0.002,0.115,-8.240,-1.709,-1.221
1.031,-0.005,0.084,-3.052,-0.061,-0.671
1.016,-0.013,0.099,1.282,-0.549,0.732
1.006,-0.002,0.126,2.563,-2.563,-1.892
1.003,-0.017,0.131,1.282,1.221,-4.333
1.011,-0.012,0.107,-1.526,3.906,-2.502
1.014,0.002,0.094,-3.845,2.930,1.892
1.003,0.025,0.086,-2.380,-0.732,-0.427
